Model,Prompt,Macro-F1 (sample SD),Precision (sample SD),Recall (sample SD),Kappa (sample SD)
GPT-5.5,ZS,0.408 (0.006),0.469 (0.020),0.485 (0.013),0.165 (0.014)
GPT-5.5,FS,0.556 (0.007),0.606 (0.014),0.537 (0.007),0.320 (0.021)
GPT-5.5,CoT,0.450 (0.005),0.508 (0.006),0.521 (0.003),0.206 (0.017)
Claude Sonnet 4.6,ZS,0.341 (0.012),0.486 (0.037),0.480 (0.009),0.131 (0.015)
Claude Sonnet 4.6,FS,0.495 (0.009),0.544 (0.014),0.563 (0.007),0.238 (0.010)
Claude Sonnet 4.6,CoT,0.303 (0.005),0.459 (0.035),0.449 (0.004),0.090 (0.010)
Gemini 2.5 Pro,ZS,0.499 (0.005),0.497 (0.006),0.575 (0.003),0.311 (0.011)
Gemini 2.5 Pro,FS,0.546 (0.021),0.533 (0.019),0.571 (0.021),0.340 (0.023)
Gemini 2.5 Pro,CoT,0.494 (0.031),0.497 (0.035),0.558 (0.031),0.297 (0.047)
Ministral 3 8B,ZS,0.420 (0.025),0.398 (0.027),0.505 (0.018),0.210 (0.030)
Ministral 3 8B,FS,0.496 (0.011),0.473 (0.015),0.558 (0.010),0.271 (0.015)
Ministral 3 8B,CoT,0.479 (0.015),0.453 (0.016),0.531 (0.007),0.239 (0.011)
Majority baseline,Always Fully,0.140,0.097,0.250,0.000
